,call_type,latitude,longitude
3305,Structure Fire,37.80428156,-122.417101
3307,Structure Fire,37.78373004,-122.4137537
3315,Structure Fire,37.78521973,-122.4066747
3317,Structure Fire,37.75010755,-122.41377920000001
3319,Structure Fire,37.75902775,-122.4391673
3350,Structure Fire,37.78373004,-122.4137537
3353,Structure Fire,37.75090379,-122.4339791
3364,Structure Fire,37.75010755,-122.41377920000001
3371,Structure Fire,37.78521973,-122.4066747
3375,Structure Fire,37.78521973,-122.4066747
3376,Structure Fire,37.75010755,-122.41377920000001
3386,Structure Fire,37.7741251,-122.4188102
3393,Structure Fire,37.78506174,-122.4264301
3402,Structure Fire,37.75090379,-122.4339791
3440,Structure Fire,37.75902775,-122.4391673
3455,Structure Fire,37.75010755,-122.41377920000001
3480,Structure Fire,37.75090379,-122.4339791
3482,Structure Fire,37.78506174,-122.4264301
3502,Structure Fire,37.78328785,-122.40895220000002
3514,Structure Fire,37.78119999,-122.4303649
3518,Structure Fire,37.78373004,-122.4137537
3527,Structure Fire,37.7921084,-122.4009331
3547,Structure Fire,37.80428156,-122.417101
3553,Structure Fire,37.78506174,-122.4264301
3555,Structure Fire,37.7838286,-122.43946670000001
3559,Structure Fire,37.78119999,-122.4303649
3591,Structure Fire,37.75010755,-122.41377920000001
3596,Structure Fire,37.78521973,-122.4066747
3609,Structure Fire,37.78373004,-122.4137537
3611,Structure Fire,37.78640961,-122.4080362
3614,Structure Fire,37.7741251,-122.4188102
3631,Structure Fire,37.78328785,-122.40895220000002
3641,Structure Fire,37.75090379,-122.4339791
3642,Structure Fire,37.78119999,-122.4303649
3645,Structure Fire,37.78328785,-122.40895220000002
3655,Structure Fire,37.75090379,-122.4339791
3656,Structure Fire,37.78506174,-122.4264301
3659,Structure Fire,37.7921084,-122.4009331
3661,Structure Fire,37.78506174,-122.4264301
3670,Structure Fire,37.7741251,-122.4188102
3673,Structure Fire,37.80428156,-122.417101
3685,Structure Fire,37.78373004,-122.4137537
3691,Structure Fire,37.75010755,-122.41377920000001
3711,Structure Fire,37.78521973,-122.4066747
3733,Structure Fire,37.78521973,-122.4066747
3741,Structure Fire,37.78640961,-122.4080362
3744,Structure Fire,37.75902775,-122.4391673
3768,Structure Fire,37.78521973,-122.4066747
3787,Structure Fire,37.75010755,-122.41377920000001
3800,Structure Fire,37.78190429,-122.4173105
3813,Structure Fire,37.78328785,-122.40895220000002
3818,Structure Fire,37.78205694,-122.42739640000002
3826,Structure Fire,37.75090379,-122.4339791
3839,Structure Fire,37.80428156,-122.417101
3845,Structure Fire,37.78373004,-122.4137537
3848,Structure Fire,37.7838286,-122.43946670000001
3852,Structure Fire,37.80428156,-122.417101
3857,Structure Fire,37.75090379,-122.4339791
3859,Structure Fire,37.78119999,-122.4303649
3867,Structure Fire,37.80428156,-122.417101
3873,Structure Fire,37.75090379,-122.4339791
3874,Structure Fire,37.75010755,-122.41377920000001
3875,Structure Fire,37.78373004,-122.4137537
3877,Structure Fire,37.78373004,-122.4137537
3890,Structure Fire,37.75090379,-122.4339791
3914,Structure Fire,37.80428156,-122.417101
3915,Structure Fire,37.78119999,-122.4303649
3919,Structure Fire,37.78205694,-122.42739640000002
3920,Structure Fire,37.78521973,-122.4066747
3925,Structure Fire,37.78119999,-122.4303649
3932,Structure Fire,37.78119999,-122.4303649
3939,Structure Fire,37.78190429,-122.4173105
3950,Structure Fire,37.80428156,-122.417101
3953,Structure Fire,37.80428156,-122.417101
3958,Structure Fire,37.78119999,-122.4303649
3961,Structure Fire,37.78119999,-122.4303649
3973,Structure Fire,37.78190429,-122.4173105
3992,Structure Fire,37.80428156,-122.417101
3995,Structure Fire,37.75010755,-122.41377920000001
4035,Structure Fire,37.78205694,-122.42739640000002
4049,Structure Fire,37.78521973,-122.4066747
4051,Structure Fire,37.78521973,-122.4066747
4053,Structure Fire,37.75090379,-122.4339791
4057,Structure Fire,37.75090379,-122.4339791
4065,Structure Fire,37.78521973,-122.4066747
4115,Structure Fire,37.75010755,-122.41377920000001
4123,Structure Fire,37.78373004,-122.4137537
4130,Structure Fire,37.78373004,-122.4137537
4140,Structure Fire,37.75010755,-122.41377920000001
4144,Structure Fire,37.78119999,-122.4303649
4157,Structure Fire,37.75010755,-122.41377920000001
4196,Structure Fire,37.76374916,-122.49426740000001
4222,Structure Fire,37.77903213,-122.4018433
4226,Structure Fire,37.72716839,-122.43680549999999
4235,Structure Fire,37.78640961,-122.4080362
4243,Structure Fire,37.76374916,-122.49426740000001
4255,Structure Fire,37.78921414,-122.44646399999999
4277,Structure Fire,37.76907613,-122.44716729999999
4284,Structure Fire,37.72716839,-122.43680549999999
4287,Structure Fire,37.76374916,-122.49426740000001
4293,Structure Fire,37.76374916,-122.49426740000001
4294,Structure Fire,37.74392308,-122.4372058
4370,Structure Fire,37.73459871,-122.3903446
4378,Structure Fire,37.74392308,-122.4372058
4388,Structure Fire,37.78921414,-122.44646399999999
4407,Structure Fire,37.78750218,-122.45278020000002
4418,Structure Fire,37.76907613,-122.44716729999999
4423,Structure Fire,37.804438299999994,-122.4116055
4430,Structure Fire,37.78750218,-122.45278020000002
4440,Structure Fire,37.73459871,-122.3903446
4450,Structure Fire,37.76374916,-122.49426740000001
4456,Structure Fire,37.73459871,-122.3903446
4462,Structure Fire,37.76374916,-122.49426740000001
4475,Structure Fire,37.74392308,-122.4372058
4486,Structure Fire,37.73459871,-122.3903446
4492,Structure Fire,37.76907613,-122.44716729999999
4496,Structure Fire,37.76907613,-122.44716729999999
4501,Structure Fire,37.76907613,-122.44716729999999
4502,Structure Fire,37.77966604,-122.4137112
4503,Structure Fire,37.76907613,-122.44716729999999
4515,Structure Fire,37.74392308,-122.4372058
4542,Structure Fire,37.76374916,-122.49426740000001
4546,Structure Fire,37.78921414,-122.44646399999999
4556,Structure Fire,37.804438299999994,-122.4116055
4561,Structure Fire,37.78750218,-122.45278020000002
4582,Structure Fire,37.77966604,-122.4137112
4583,Structure Fire,37.76374916,-122.49426740000001
4587,Structure Fire,37.74392308,-122.4372058
4605,Structure Fire,37.74392308,-122.4372058
4607,Structure Fire,37.78921414,-122.44646399999999
4612,Structure Fire,37.76907613,-122.44716729999999
4626,Structure Fire,37.804438299999994,-122.4116055
4651,Structure Fire,37.74392308,-122.4372058
4653,Structure Fire,37.76374916,-122.49426740000001
4662,Structure Fire,37.78750218,-122.45278020000002
4685,Structure Fire,37.78750218,-122.45278020000002
4687,Structure Fire,37.73459871,-122.3903446
4693,Structure Fire,37.78921414,-122.44646399999999
4694,Structure Fire,37.77903213,-122.4018433
4703,Structure Fire,37.74392308,-122.4372058
4708,Structure Fire,37.78921414,-122.44646399999999
4723,Structure Fire,37.78640961,-122.4080362
4730,Structure Fire,37.73459871,-122.3903446
4736,Structure Fire,37.73459871,-122.3903446
4738,Structure Fire,37.76907613,-122.44716729999999
4742,Structure Fire,37.78921414,-122.44646399999999
4763,Structure Fire,37.73459871,-122.3903446
4766,Structure Fire,37.78750218,-122.45278020000002
4802,Structure Fire,37.74392308,-122.4372058
4816,Structure Fire,37.78921414,-122.44646399999999
4837,Structure Fire,37.73459871,-122.3903446
4868,Structure Fire,37.72623625,-122.4336236
4882,Structure Fire,37.76374916,-122.49426740000001
4891,Structure Fire,37.78750218,-122.45278020000002
4894,Structure Fire,37.72623625,-122.4336236
4947,Structure Fire,37.73459871,-122.3903446
4959,Structure Fire,37.78750218,-122.45278020000002
4976,Structure Fire,37.78921414,-122.44646399999999
4991,Structure Fire,37.78921414,-122.44646399999999
5003,Structure Fire,37.78750218,-122.45278020000002
5004,Structure Fire,37.74392308,-122.4372058
5009,Structure Fire,37.76907613,-122.44716729999999
5010,Structure Fire,37.78750218,-122.45278020000002
5021,Structure Fire,37.76907613,-122.44716729999999
5036,Structure Fire,37.76374916,-122.49426740000001
5090,Structure Fire,37.77710453,-122.3927504
5108,Structure Fire,37.79494605,-122.42915590000001
5110,Structure Fire,37.73527383,-122.3914135
5118,Structure Fire,37.73527383,-122.3914135
5120,Structure Fire,37.74983632,-122.4182805
5173,Structure Fire,37.77710453,-122.3927504
5177,Structure Fire,37.77710453,-122.3927504
5190,Structure Fire,37.77021017,-122.44534499999999
5223,Structure Fire,37.73527383,-122.3914135
5232,Structure Fire,37.74983632,-122.4182805
5237,Structure Fire,37.75376855,-122.487183
5250,Structure Fire,37.77710453,-122.3927504
5279,Structure Fire,37.73527383,-122.3914135
5319,Structure Fire,37.77710453,-122.3927504
5328,Structure Fire,37.73527383,-122.3914135
5333,Structure Fire,37.77710453,-122.3927504
5346,Structure Fire,37.79494605,-122.42915590000001
5362,Structure Fire,37.77310059,-122.4155614
5367,Structure Fire,37.79494605,-122.42915590000001
5375,Structure Fire,37.77710453,-122.3927504
5421,Structure Fire,37.73527383,-122.3914135
5427,Structure Fire,37.77021017,-122.44534499999999
5445,Structure Fire,37.77710453,-122.3927504
5472,Structure Fire,37.79494605,-122.42915590000001
5501,Structure Fire,37.77710453,-122.3927504
5508,Structure Fire,37.77310059,-122.4155614
