,call_type,latitude,longitude
7076,Citizen Assist / Service Call,37.75456421,-122.40648049999999
7099,Citizen Assist / Service Call,37.77981193,-122.43375859999999
7100,Traffic Collision,37.75936549,-122.40694690000001
7104,Gas Leak (Natural and LP Gases),37.76347833,-122.41301979999999
7105,Outside Fire,37.76518314,-122.41748659999999
7107,Elevator / Escalator Rescue,37.78769716,-122.44292050000001
7129,Outside Fire,37.78023452,-122.40556480000001
7131,Traffic Collision,37.77973891,-122.40715949999999
7136,Electrical Hazard,37.78806716,-122.44044009999999
7141,Traffic Collision,37.78485253,-122.46563229999998
7152,Traffic Collision,37.7563941,-122.4036384
7153,Traffic Collision,37.7563941,-122.4036384
7161,Traffic Collision,37.77650804,-122.4144578
7163,Citizen Assist / Service Call,37.78941206,-122.4221352
7171,Gas Leak (Natural and LP Gases),37.76347833,-122.41301979999999
7172,Other,37.73242083,-122.37909170000002
7191,Other,37.7633166,-122.458206
7198,Traffic Collision,37.77769966,-122.40460549999999
7213,Traffic Collision,37.72880614,-122.37014540000001
7220,Traffic Collision,37.77973891,-122.40715949999999
7234,Citizen Assist / Service Call,37.78600483,-122.39507730000001
7245,Electrical Hazard,37.71224713,-122.4042271
7249,Other,37.77689454,-122.4919581
7284,Gas Leak (Natural and LP Gases),37.76780932,-122.44919569999999
7285,Traffic Collision,37.79573711,-122.4234131
7290,Other,37.77689454,-122.4919581
7334,Traffic Collision,37.7563941,-122.4036384
7381,Citizen Assist / Service Call,37.78600483,-122.39507730000001
