Column1,Unnamed0,call_type,received_timestamp,disptach_timestamp,dispatch_time,latitude,longitude,TransactionId,ComputedAPN,StreetAddress,ComputedCity,ComputedState,ComputedZip
3876,3876,Structure Fire,0 days 05:47:33.000000000,0 days 05:48:34.000000000,0 days 00:01:01.000000000,37.77827537,-122.4383387,,1155020,924 Divisadero St,San Francisco,CA,94115
3889,3889,Structure Fire,0 days 09:54:49.000000000,0 days 09:58:36.000000000,0 days 00:03:47.000000000,37.76211502,-122.4887754,,1784013,1346  30th Ave,San Francisco,CA,94122
3913,3913,Structure Fire,0 days 13:29:45.000000000,0 days 13:40:05.000000000,0 days 00:10:20.000000000,37.76941133,-122.4308076,,875023,345 Hermann St,San Francisco,CA,94117
3914,3914,Structure Fire,0 days 19:17:01.000000000,0 days 19:19:31.000000000,0 days 00:02:30.000000000,37.80428156,-122.417101,,0044002E,2501 Jones St,San Francisco,CA,94133
3918,3918,Structure Fire,0 days 11:22:44.000000000,0 days 11:22:51.000000000,0 days 00:00:07.000000000,37.78558247,-122.4146172,,322001,601 Ofarrell St,San Francisco,CA,94109
3919,3919,Structure Fire,0 days 10:07:29.000000000,0 days 10:10:43.000000000,0 days 00:03:14.000000000,37.78205694,-122.4273964,,734006,1201 Laguna St,San Francisco,CA,94115
3924,3924,Structure Fire,0 days 19:17:01.000000000,0 days 19:19:31.000000000,0 days 00:02:30.000000000,37.75898366,-122.4141501,,3593006,3276  20th St,San Francisco,CA,94110
3931,3931,Structure Fire,0 days 19:17:01.000000000,0 days 19:19:31.000000000,0 days 00:02:30.000000000,37.7732598,-122.4090509,,3757113,1221 Harrison St,San Francisco,CA,94103
3938,3938,Structure Fire,0 days 19:20:22.000000000,0 days 19:20:43.000000000,0 days 00:00:21.000000000,37.75703373,-122.4767584,,1924004,1601  19th Ave,San Francisco,CA,94122
3949,3949,Structure Fire,0 days 13:29:45.000000000,0 days 13:40:05.000000000,0 days 00:10:20.000000000,37.75463968,-122.4310643,,3626032,3745  22nd St,San Francisco,CA,94114
